T(K),B(Oe),B(T),Cp(mu J/K)
1.4283924,5999.697,0.5999697,26.010942
1.4534201,5999.697,0.5999697,25.088576
1.4787889,5999.697,0.5999697,24.27526
1.5045618,5999.697,0.5999697,23.515474
1.5305488,5999.697,0.5999697,22.852745
1.5568158,5999.697,0.5999697,22.177725
1.5833418,5999.697,0.5999697,21.640749
1.6098474,5999.697,0.5999697,21.087806
1.6365855,5999.697,0.5999697,20.521459
1.6632315,5999.697,0.5999697,20.03855
1.6899177,5999.697,0.5999697,19.627449
1.7164541,5999.697,0.5999697,19.221423
1.7428637,5999.697,0.5999697,18.848993
1.7691585,5999.697,0.5999697,18.515091
1.7952054,5999.697,0.5999697,18.068876
1.8210152,5999.697,0.5999697,17.747376
1.8464446,5999.697,0.5999697,17.488095
1.8717977,5999.697,0.5999697,17.100413
1.8968026,5999.697,0.5999697,16.777516
1.9214896,5999.697,0.5999697,16.443755
1.9456539,5999.697,0.5999697,16.138805
1.969544,5999.697,0.5999697,15.86617
1.9931419,5999.697,0.5999697,15.685771
2.0158964,5999.697,0.5999697,15.523534
2.0382678,5999.697,0.5999697,15.327203
2.0602061,5999.697,0.5999697,15.019213
2.0816363,5999.697,0.5999697,14.824727
2.1024905,5999.697,0.5999697,14.593472
2.1227236,5999.697,0.5999697,14.356742
2.14257,5999.697,0.5999697,14.267363
2.1619486,5999.697,0.5999697,14.046011
2.180738,5999.697,0.5999697,13.710834
2.1990039,5999.697,0.5999697,13.483096
2.2168197,5999.697,0.5999697,13.208956
2.2339057,5999.697,0.5999697,13.186815
2.2505641,5999.697,0.5999697,13.142798
2.2665603,5999.697,0.5999697,12.99532
2.2819499,5999.697,0.5999697,12.781052
2.2967692,5999.697,0.5999697,12.658337
2.3110126,5999.697,0.5999697,12.360158
2.3249391,5999.697,0.5999697,12.275861
2.3381134,5999.697,0.5999697,12.246981
2.350719,5999.697,0.5999697,12.185831
2.3630308,5999.697,0.5999697,11.85566
2.374984,5999.697,0.5999697,11.557041
2.386389,5999.697,0.5999697,11.23708
2.3971262,5999.697,0.5999697,11.161223
2.4076809,5999.697,0.5999697,11.087394
2.4180343,5999.697,0.5999697,10.906699
2.4276525,5999.697,0.5999697,10.681854
2.4366389,5999.697,0.5999697,10.578518
2.4452371,5999.697,0.5999697,10.421743
2.4537222,5999.697,0.5999697,10.462022
2.4616622,5999.697,0.5999697,10.430269
2.4691366,5999.697,0.5999697,9.9268386
2.4763051,5999.697,0.5999697,9.5626981
2.4835151,5999.697,0.5999697,9.123676
2.4902387,5999.697,0.5999697,8.9991472
2.4965993,5999.697,0.5999697,8.8372328
2.5025917,5999.697,0.5999697,8.9335142
2.5082038,5999.697,0.5999697,8.8599856
2.5136836,5999.697,0.5999697,8.6830699
2.5185747,5999.697,0.5999697,8.2787189
2.5235084,5999.697,0.5999697,7.7927246
2.5279769,5999.697,0.5999697,7.6436232
2.5326049,5999.697,0.5999697,7.128377
2.5370766,5999.697,0.5999697,6.5854079
2.5411617,5999.697,0.5999697,6.132987
2.5451491,5999.697,0.5999697,5.8970281
2.5488828,5999.697,0.5999697,5.3994286
2.5526448,5999.697,0.5999697,5.3237106
2.555731,5999.697,0.5999697,5.2908364
2.5586143,5999.697,0.5999697,4.9483101
2.5617426,5999.697,0.5999697,4.0857102
2.5645882,5999.697,0.5999697,3.5626175
2.5670652,5999.697,0.5999697,3.1500744
2.5694206,5999.697,0.5999697,2.6461433
2.5719532,5999.697,0.5999697,2.185687
2.5744036,5999.697,0.5999697,1.5809769
2.5764682,5999.697,0.5999697,0.79995976
2.5785961,5999.697,0.5999697,0.13524827
2.5803077,5999.697,0.5999697,-0.43942151
2.5824216,5999.697,0.5999697,-1.2573501
2.5842105,5999.697,0.5999697,-2.1041009
2.58579,5999.697,0.5999697,-2.9398003
2.5872145,5999.697,0.5999697,-3.644143
2.5886977,5999.697,0.5999697,-3.8121386
2.5903114,5999.697,0.5999697,-6.4985094
2.5916936,5999.697,0.5999697,-5.9480138
2.5929126,5999.697,0.5999697,-7.1042063
2.5940207,5999.697,0.5999697,-9.3004509
2.5949157,5999.697,0.5999697,-14.945039
0.7415327,7999.757,0.7999757,17.409942
0.79046789,7999.757,0.7999757,19.591184
0.833471,7999.757,0.7999757,21.639433
0.87206033,7999.757,0.7999757,23.669312
0.90699025,7999.757,0.7999757,25.699061
0.93882389,7999.757,0.7999757,27.806882
0.96797955,7999.757,0.7999757,29.974365
0.99471553,7999.757,0.7999757,32.276035
1.0192656,7999.757,0.7999757,34.839949
1.0416982,7999.757,0.7999757,37.793955
1.0619205,7999.757,0.7999757,41.657922
1.0803125,7999.757,0.7999757,46.077233
1.0976607,7999.757,0.7999757,48.905414
1.1144079,7999.757,0.7999757,49.311765
1.1309096,7999.757,0.7999757,47.536315
1.1475226,7999.757,0.7999757,44.819858
1.1646961,7999.757,0.7999757,43.062944
1.1824234,7999.757,0.7999757,42.587924
1.2001565,7999.757,0.7999757,42.494039
1.2176939,7999.757,0.7999757,42.768302
1.2348711,7999.757,0.7999757,43.433473
1.2515737,7999.757,0.7999757,44.443726
1.2679475,7999.757,0.7999757,45.348156
1.2847475,7999.757,0.7999757,44.048123
1.3023472,7999.757,0.7999757,40.706166
1.3210701,7999.757,0.7999757,36.539094
1.3411989,7999.757,0.7999757,32.718147
1.3629983,7999.757,0.7999757,29.861436
1.3864012,7999.757,0.7999757,28.17312
1.4107202,7999.757,0.7999757,26.951351
1.4357323,7999.757,0.7999757,25.957057
1.4612798,7999.757,0.7999757,25.099324
1.4872868,7999.757,0.7999757,24.295011
1.5135678,7999.757,0.7999757,23.537893
1.5401702,7999.757,0.7999757,22.825647
1.5670417,7999.757,0.7999757,22.192747
1.5940507,7999.757,0.7999757,21.642007
1.6212479,7999.757,0.7999757,21.080345
1.6485095,7999.757,0.7999757,20.517682
1.6757192,7999.757,0.7999757,20.089343
1.7030187,7999.757,0.7999757,19.577997
1.730107,7999.757,0.7999757,19.196934
1.7571953,7999.757,0.7999757,18.81382
1.7839878,7999.757,0.7999757,18.458285
1.8105963,7999.757,0.7999757,18.055626
1.8370881,7999.757,0.7999757,17.726339
1.8630833,7999.757,0.7999757,17.373848
1.8890185,7999.757,0.7999757,17.041422
1.9144749,7999.757,0.7999757,16.722608
1.9397001,7999.757,0.7999757,16.422234
